Name,Focus,Weather Sealed,Diameter (mm),Length (mm),Weight (g),Launch Year,Launch Price (USD)
Olympus ED 7-14mm f/2.8 PRO,AF,1,79,106,534,2015," $1,299.00 "
Panasonic 7-14mm f/4,AF,0,70,83,300,2009," $1,099.00 "
Panasonic Leica 8-18mm f/2.8-4,AF,1,83,88,315,2017," $1,099.00 "
Olympus 9-18mm f/4.0-5.6 MSC,AF,0,57,50,155,2010, $699.00 
Panasonic Leica 10-25mm f/1.7 ASPH,AF,1,88,128,690,2019," $1,799.00 "
Entaniya Fisheye 250 MFT,no,0,125,100,1600,2016," $3,499.00 "
Venus Optics Laowa 4mm f/2.8,MF,0,45,26,135,2018, $199.00 
Venus Optics Laowa 7.5mm f/2,MF,0,50,55,170,2017, $499.00 
Samyang 7.5mm f/3.5 UMC Fisheye,MF,0,60,48,190,2012, $299.00 
Olympus ED 8mm f/1.8 Fisheye PRO,AF,1,62,80,314,2015, $999.00 
Panasonic FE 8mm f/3.5,AF,0,61,52,165,2010, $799.00 
Peleng 8mm f/3.5 Fisheye,MF,0,73,66,370,2010, $279.00 
Samyang 8mm f/3.5 UMC Fish-Eye CS II,MF,0,78,100,440,2012, $329.00 
Kowa Prominar 8.5mm f/2.8,MF,0,72,87,440,2015," $1,199.00 "
Olympus 9mm f/8 Fish-Eye Body Cap Lens,MF,0,56,13,30,2014, $99.00 
Rokinon 9mm f/8,MF,0,65,57,220,2014, $249.00 
Samyang 10mm f/2.8 ED AS NCS CS,MF,0,87,131,620,2013, $599.00 
Voigtlander Nokton 10.5mm f/0.95,MF,0,77,82,586,2014," $1,099.00 "
Panasonic Leica 12mm f/1.4 ASPH,AF,1,70,70,335,2016," $1,299.00 "
Kowa Prominar 12mm f/1.8,MF,0,76,91,475,2015, $999.00 
Olympus 12mm f/2.0 MSC,AF,0,56,43,130,2011, $799.00 
Samyang 12mm f/2.0 NCS CS,MF,0,73,58,255,2014, $349.00 
Samyang 12mm f/2.8 ED AS NCS FISH-EYE,MF,0,77,98,520,2014, $499.00 
Venus Optics Laowa 12mm f/2.8 Zero-D,MF,0,75,83,609,2016, $979.00 
Panasonic 14mm f/2.5,AF,0,56,21,55,2010, $399.00 
Panasonic 14mm f/2.5 II,AF,0,56,21,55,2014, $399.00 
Samyang 14mm f/2.8 ED AS IF UMC,MF,0,87,121,570,2010, $399.00 
Panasonic Leica 15mm f/1.7 ASPH,AF,0,58,36,115,2014, $599.00 
Venus Optics Laowa 15mm f/4 Macro,MF,0,84,65,410,2015, $529.00 
Olympus 15mm f/F8.0 Body Cap Lens,MF,0,56,9,22,2012, $49.00 
Sigma 16mm f/1.4 DC DN Contemporary,AF,1,72,92,405,2017, $449.00 
Samyang 16mm f/2.0 ED AS UMC CS,MF,0,83,114,610,2013, $399.00 
Olympus ED 17mm F1.2 Pro,AF,1,68,87,390,2017," $1,199.00 "
Olympus 17mm f/1.8,AF,0,58,36,120,2012, $499.00 
Olympus 17mm f/2.8 Pancake,AF,0,57,22,71,2009, $299.00 
Voigtlander Nokton 17.5mm f/0.95,MF,0,63,80,540,2012," $1,299.00 "
Sigma 19mm f/2.8 EX DN,AF,0,61,46,140,2012, $199.00 
Sigma 19mm f/2.8 DN Art,AF,0,61,46,160,2013, $199.00 
Panasonic 12-32mm f/3.5-5.6 Mega-OIS,AF,0,56,24,70,2013, $439.00 
Panasonic X 12-35mm f/2.8 Power OIS,AF,1,74,68,305,2012," $1,299.00 "
Panasonic X 12-35mm f/2.8 II Power OIS,AF,1,74,68,305,2017, $999.00 
Olympus 12-40mm f/2.8 PRO,AF,1,70,84,382,2013, $999.00 
Yi 12-40mm f/3.5-5.6,AF,0,58,63,170,2016, $149.00 
