,Wide-angle Zooms,Focus,Filter,Weather,Lens,Lens,Product,Launch,Street
,,System,Type,Sealing,Dimensions,Weight,Launch,Price,Price
,,(type),(size),(y/n),(dia x len),(net),(year),(USD),(USD)
olympus mzd 7 14mm,Olympus ED 7-14mm f/2.8 PRO,AF,i,i,79 x 106 mm,534 g,2015,"1,299",i
panasonic 7 14mm,Panasonic 7-14mm f/4,AF,i,i,70 x 83 mm,300 g,2009,"1,099",i
panasonic leica 8 18mm 28 40,Panasonic Leica 8-18mm f/2.8-4,AF,67,i,73 x 88 mm,315 g,2017,"1,099",i
olympus mzd 9 18mm,Olympus 9-18mm f/4.0-5.6 MSC,AF,52,i,57 x 50 mm,155 g,2010,699,i
panasonic leica 10 25mm,Panasonic Leica 10-25mm f/1.7 ASPH,AF,77,i,88 x 128 mm,690 g,2019,"1,799",i
,Wide-angle Primes,Focus,Filter,Weather,Lens,Lens,Product,Launch,Street
,,System,Type,Sealing,Dimensions,Weight,Launch,Price,Price
,,(type),(size),(y/n),(dia x len),(net),(year),(USD),(USD)
entaniya 250 fisheye,Entaniya Fisheye 250 MFT,no,i,i,125 x 100 mm,"1,600 g",2016,"3,499",i
venus laowa 4mm 28,Venus Optics Laowa 4mm f/2.8,MF,i,i,45 x 26 mm,135 g,2018,199,i
venus laowa 7 5mm 20,Venus Optics Laowa 7.5mm f/2,MF,46,i,50 x 55 mm,170 g,2017,499,i
samyang 7 5mm,Samyang 7.5mm f/3.5 UMC Fisheye,MF,i,i,60 x 48 mm,190 g,2012,299,i
olympus mzd 8mm 18,Olympus ED 8mm f/1.8 Fisheye PRO,AF,i,i,62 x 80 mm,314 g,2015,999,i
panasonic 8mm,Panasonic FE 8mm f/3.5,AF,Gel,i,61 x 52 mm,165 g,2010,799,i
peleng 8mm,Peleng 8mm f/3.5 Fisheye,MF,i,i,73 x 66 mm,370 g,2010,279,i
samyang 8mm,Samyang 8mm f/3.5 UMC Fish-Eye CS II,MF,i,i,78 x 100 mm,440 g,2012,329,i
kowa 8 5mm,Kowa Prominar 8.5mm f/2.8,MF,86,i,72 x 87 mm,440 g,2015,"1,199",i
olympus mzd 9mm,Olympus 9mm f/8 Fish-Eye Body Cap Lens,MF,i,i,56 x 13 mm,30 g,2014,99,i
rokinon 9mm,Rokinon 9mm f/8,MF,i,i,65 x 57 mm,220 g,2014,249,i
samyang 10mm,Samyang 10mm f/2.8 ED AS NCS CS,MF,i,i,87 x 131 mm,620 g,2013,599,i
voigtlander 10 5mm,Voigtlander Nokton 10.5mm f/0.95,MF,72,i,77 x 82 mm,586 g,2014,"1,099",i
panasonic leica 12mm 14,Panasonic Leica 12mm f/1.4 ASPH,AF,62,i,70 x 70 mm,335 g,2016,"1,299",i
kowa 12mm,Kowa Prominar 12mm f/1.8,MF,72,i,76 x 91 mm,475 g,2015,999,i
olympus mzd 12mm,Olympus 12mm f/2.0 MSC,AF,46,i,56 x 43 mm,130 g,2011,799,i
samyang 12mm 20,Samyang 12mm f/2.0 NCS CS,MF,67,i,73 x 58 mm,255 g,2014,349,i
samyang 12mm 28,Samyang 12mm f/2.8 ED AS NCS FISH-EYE,MF,i,i,77 x 98 mm,520 g,2014,499,i
venus laowa 12mm 28,Venus Optics Laowa 12mm f/2.8 Zero-D,MF,i,i,75 x 83 mm,609 g,2016,979,i
panasonic 14mm 25,Panasonic 14mm f/2.5,AF,46,i,56 x 21 mm,55 g,2010,399,i
panasonic 14mm 25 ii,Panasonic 14mm f/2.5 II,AF,46,i,56 x 21 mm,55 g,2014,399,i
samyang 14mm,Samyang 14mm f/2.8 ED AS IF UMC,MF,i,i,87 x 121 mm,570 g,2010,399,i
panasonic leica 15mm,Panasonic Leica 15mm f/1.7 ASPH,AF,46,i,58 x 36 mm,115 g,2014,599,i
venus laowa 15mm,Venus Optics Laowa 15mm f/4 Macro,MF,77,i,84 x 65 mm,410 g,2015,529,i
olympus mzd 15mm,Olympus 15mm f/F8.0 Body Cap Lens,MF,i,i,56 x 9 mm,22 g,2012,49,i
sigma af 16mm 14 dc dn c,Sigma 16mm f/1.4 DC DN Contemporary,AF,67,i,72 x 92 mm,405 g,2017,449,i
samyang 16mm,Samyang 16mm f/2.0 ED AS UMC CS,MF,77,i,83 x 114 mm,610 g,2013,399,i
olympus mzd 17mm 12,Olympus ED 17mm F1.2 Pro,AF,62,i,68 x 87 mm,390 g,2017,"1,199",i
olympus mzd 17mm 18,Olympus 17mm f/1.8,AF,46,i,58 x 36 mm,120 g,2012,499,i
olympus mzd 17mm 28,Olympus 17mm f/2.8 Pancake,AF,37,i,57 x 22 mm,71 g,2009,299,i
voigtlander 17 5mm,Voigtlander Nokton 17.5mm f/0.95,MF,58,i,63 x 80 mm,540 g,2012,"1,299",i
sigma 19mm ex mft,Sigma 19mm f/2.8 EX DN,AF,46,i,61 x 46 mm,140 g,2012,199,i
sigma 19mm art mft,Sigma 19mm f/2.8 DN Art,AF,46,i,61 x 46 mm,160 g,2013,199,i
,Standard Zooms,Focus,Filter,Weather,Lens,Lens,Product,Launch,Street
,,System,Type,Sealing,Dimensions,Weight,Launch,Price,Price
,,(type),(size),(y/n),(dia x len),(net),(year),(USD),(USD)
panasonic 12 32mm,Panasonic 12-32mm f/3.5-5.6 Mega-OIS,AF,37,i,56 x 24 mm,70 g,2013,439,i
panasonic 12 35mm,Panasonic X 12-35mm f/2.8 Power OIS,AF,58,i,74 x 68 mm,305 g,2012,"1,299",i
panasonic 12 35mm ii,Panasonic X 12-35mm f/2.8 II Power OIS,AF,58,i,74 x 68 mm,305 g,2017,999,i
olympus mzd 12 40mm,Olympus 12-40mm f/2.8 PRO,AF,62,i,70 x 84 mm,382 g,2013,999,i
yi 12 40mm 35 56,Yi 12-40mm f/3.5-5.6,AF,49,i,58 x 63 mm,170 g,2016,149,i
kodak 12 45mm,Kodak 12-45mm f/3.5-6.3 ASPH ED,AF,49,i,58 x 63 mm,183 g,2014,99,i
olympus mzd 12 50mm,Olympus 12-50mm f/3.5-6.3 EZ,AF,52,i,57 x 83 mm,211 g,2011,499,i
panasonic leica 12 60mm 28 ois,Panasonic Leica 12-60mm f/2.8-4 Power OIS,AF,62,i,68 x 86 mm,320 g,2017,999,i
panasonic 12 60mm,Panasonic 12-60mm f/3.5-5.6 Power OIS,AF,58,i,66 x 71 mm,210 g,2016,499,i
olympus mzd 12 100mm 40,Olympus ED 12-100mm f/4 IS PRO,AF,72,i,78 x 117 mm,561 g,2016,"1,299",i
olympus mzd 12 200mm 35,Olympus ED 12-200mm f/3.5-6.3,AF,72,i,78 x 100 mm,455 g,2019,899,i
olympus mzd 14 42mm,Olympus 14-42mm f/3.5-5.6,AF,40.5,i,62 x 44 mm,150 g,2009,199,i
olympus mzd 14 42mm ii,Olympus 14-42mm f/3.5-5.6 II MSC,AF,37,i,57 x 50 mm,112 g,2010,199,i
panasonic 14 42mm,Panasonic 14-42mm f/3.5-5.6 OIS,AF,52,i,61 x 64 mm,165 g,2010,199,i
olympus mzd 14 42mm ii r,Olympus 14-42mm f/3.5-5.6 II R,AF,37,i,57 x 50 mm,112 g,2011,299,i
panasonic 14 42mm pz,Panasonic PZ 14-42mm f/3.5-5.6 Power-OIS X,AF,37,i,61 x 27 mm,95 g,2011,399,i
panasonic 14 42mm ii,Panasonic 14-42mm f/3.5-5.6 OIS II,AF,46,i,56 x 49 mm,110 g,2013,249,i
olympus mzd 14 42mm ez,Olympus 14-42mm f/3.5-5.6 EZ,AF,37,i,61 x 23 mm,91 g,2014,249,i
panasonic 14 45mm,Panasonic 14-45mm f3.5-5.6 OIS,AF,52,i,60 x 60 mm,195 g,2008,349,i
panasonic 14 140mm 35,Panasonic 14-140mm f/3.5-5.6 Power-OIS,AF,58,i,67 x 75 mm,265 g,2013,699,i
panasonic 14 140mm 35 56 ii,Panasonic 14-140mm f/3.5-5.6 II Power-OIS,AF,58,i,67 x 75 mm,265 g,2019,599,i
panasonic 14 140mm 40,Panasonic 14-140mm f/4-5.8 OIS,AF,62,i,70 x 84 mm,460 g,2009,849,i
tamron 14 150mm,Tamron 14-150mm f/3.5-5.8 Di III,AF,52,i,64 x 80 mm,285 g,2014,589,i
olympus mzd 14 150mm,Olympus 14-150mm f/4.0-5.6 MSC,AF,58,i,64 x 83 mm,260 g,2010,599,i
olympus mzd 14 150mm ii,Olympus 14-150mm f/4.0-5.6 II,AF,58,i,64 x 83 mm,285 g,2015,599,i
,Standard Primes,Focus,Filter,Weather,Lens,Lens,Product,Launch,Street
,,System,Type,Sealing,Dimensions,Weight,Launch,Price,Price
,,(type),(size),(y/n),(dia x len),(net),(year),(USD),(USD)
panasonic 20mm,Panasonic 20mm f/1.7 ASPH,AF,46,i,63 x 26 mm,100 g,2009,399,i
panasonic 20mm ii,Panasonic 20mm f/1.7 II ASPH,AF,46,i,63 x 26 mm,87 g,2013,429,i
samyang 20mm 18,Samyang 20mm f/1.8 ED AS UMC,MF,77,i,83 x 113 mm,520 g,2016,599,i
samyang 21mm,Samyang 21mm f/1.4 ED AS UMC CS,MF,58,i,64 x 66 mm,285 g,2015,499,i
samyang 24mm 14,Samyang 24mm f/1.4 ED AS IF UMC,MF,77,i,83 x 122 mm,585 g,2011,599,i
mitakon 24mm,Mitakon Freewalker 24mm f/1.7,MF,49,i,62 x 55 mm,246 g,2014,349,i
samyang 24mm 35,Samyang 24mm f/3.5 ED AS UMC Tilt/Shift,MF,82,i,86 x 134 mm,730 g,2012,999,i
voigtlander 25mm,Voigtlander Nokton 25mm f/0.95,MF,52,i,58 x 70 mm,410 g,2010,"1,125",i
voigtlander 25mm ii,Voigtlander Nokton 25mm f/0.95 II,MF,52,i,61 x 70 mm,435 g,2014,949,i
mitakon 25mm,Mitakon Speedmaster 25mm f/0.95,MF,43,i,60 x 45 mm,230 g,2015,399,i
meike 25mm,Meike 25mm f/0.95,MF,55,i,64 x 101 mm,540 g,2016,659,i
olympus mzd 25mm 12,Olympus 25mm f/1.2 PRO,AF,62,i,70 x 87 mm,410 g,2016,"1,199",i
panasonic leica 25mm mft,Panasonic Leica 25mm f/1.4 ASPH,AF,46,i,63 x 55 mm,200 g,2011,599,i
panasonic leica 25mm 14 ii,Panasonic Leica 25mm f/1.4 II ASPH,AF,46,i,63 x 55 mm,205 g,2019,699,i
panasonic 25mm 17,Panasonic 25mm f/1.7 ASPH,AF,46,i,61 x 52 mm,125 g,2015,249,i
olympus mzd 25mm 18,Olympus 25mm f/1.8,AF,46,i,56 x 41 mm,136 g,2014,399,i
kowa 25mm,Kowa Prominar 25mm f/1.8,MF,55,i,60 x 94 mm,400 g,2015,899,i
meike 28mm,Meike 28mm f/2.8,MF,49,i,60 x 29 mm,102 g,2016,89,i
sigma 30mm c mft,Sigma 30mm f/1.4 DC DN C,AF,52,i,65 x 73 mm,265 g,2016,339,i
yasuhara nanoha,Yasuhara Nanoha x5 f/11 Macro,no,i,i,61 x 84 mm,310 g,2011,499,i
sigma 30mm ex mft,Sigma 30mm f/2.8 EX DN,AF,47,i,61 x 39 mm,135 g,2012,199,i
sigma 30mm art mft,Sigma 30mm f/2.8 DN Art,AF,46,i,61 x 41 mm,140 g,2013,199,i
panasonic 30mm 28,Panasonic 30mm f/2.8 ASPH Mega OIS Macro,AF,46,i,59 x 64 mm,180 g,2015,399,i
olympus mzd 30mm 35,Olympus ED 30mm f/3.5 Macro,AF,46,i,57 x 60 mm,128 g,2016,299,i
,Tele-photo Zooms,Focus,Filter,Weather,Lens,Lens,Product,Launch,Street
,,System,Type,Sealing,Dimensions,Weight,Launch,Price,Price
,,(type),(size),(y/n),(dia x len),(net),(year),(USD),(USD)
panasonic 35 100mm,Panasonic X 35-100mm f/2.8 Power OIS,AF,58,i,67 x 100 mm,360 g,2012,"1,499",i
panasonic 35 100mm ii,Panasonic X 35-100mm f/2.8 II Power OIS,AF,58,i,67 x 100 mm,357 g,2017,"1,099",i
panasonic 35 100mm 40 56,Panasonic 35-100mm f/4-5.6 ASPH Mega OIS,AF,46,i,56 x 50 mm,135 g,2014,399,i
olympus mzd 40 150mm 28,Olympus 40-150mm f/2.8 Pro,AF,72,i,79 x 160 mm,880 g,2014,"1,499",i
olympus mzd 40 150mm 40,Olympus 40-150mm f/4.0-5.6 MSC,AF,58,i,64 x 86 mm,190 g,2010,329,i
olympus mzd 40 150mm 40 r,Olympus 40-150mm f/4.0-5.6 R,AF,58,i,64 x 86 mm,190 g,2011,329,i
kodak 42.5 160mm,Kodak 42.5-160mm f/3.9-5.9,AF,49,i,59 x 80 mm,205 g,2014,149,i
panasonic 45 150mm,Panasonic 45-150mm f/4-5.6 OIS,AF,52,i,62 x 73 mm,200 g,2012,299,i
panasonic 45 175mm,Panasonic PZ 45-175mm f/4-5.6 Power-OIS X,AF,46,i,62 x 90 mm,210 g,2011,449,i
panasonic 45 200mm,Panasonic 45-200mm f/4-5.6 OIS,AF,52,i,70 x 100 mm,380 g,2008,349,i
panasonic 45 200mm ii,Panasonic 45-200mm f/4-5.6 II Power-OIS,AF,52,i,70 x 100 mm,370 g,2017,449,i
panasonic 50 200mm 28,Panasonic Leica 50-200mm f/2.8-4 Power-OIS,AF,67,i,76 x 132 mm,655 g,2018,"1,699",i
olympus mzd 75 300mm,Olympus 75-300mm f/4.8-6.7 MSC,AF,58,i,70 x 116 mm,430 g,2010,899,i
olympus mzd 75 300mm ii,Olympus 75-300mm f/4.8-6.7 II,AF,58,i,69 x 117 mm,423 g,2013,549,i
panasonic 100 300mm,Panasonic 100-300mm f/4-5.6 OIS,AF,67,i,74 x 126 mm,520 g,2010,599,i
panasonic 100 300mm ii,Panasonic 100-300mm f/4-5.6 II Power-OIS,AF,67,i,74 x 126 mm,520 g,2017,649,i
panasonic leica 100 400mm,Panasonic Leica 100-400mm f/4-6.3 Power-OIS,AF,72,i,83 x 172 mm,985 g,2016,"1,499",i
,Tele-photo Primes,Focus,Filter,Weather,Lens,Lens,Product,Launch,Street
,,System,Type,Sealing,Dimensions,Weight,Launch,Price,Price
,,(type),(size),(y/n),(dia x len),(net),(year),(USD),(USD)
panasonic 12 5mm,Panasonic 12.5mm f/12 3D,AF,i,i,57 x 21 mm,45 g,2010,249,i
jackar 34mm,Jackar Snapshooter 34mm f/1.8,MF,37,i,48 x 53 mm,145 g,2012,190,i
mitakon 35mm,Mitakon Speedmaster 35mm f/0.95,MF,58,i,64 x 82 mm,680 g,2013,749,i
samyang 35mm 12 cs,Samyang 35mm f/1.2 ED AS UMC CS,MF,62,i,68 x 73 mm,426 g,2016,499,i
samyang 35mm,Samyang 35mm f/1.4 AS UMC,MF,77,i,83 x 136 mm,730 g,2011,599,i
slr magic 35mm,SLR Magic 35mm f/1.7,MF,37,i,56 x 40 mm,300 g,2010,139,i
meike 35mm,Meike 35mm f/1.7,MF,49,i,61 x 41 mm,176 g,2016,89,i
handevision 40mm,Handevision Ibelux 40mm f/0.85,MF,67,i,74 x 128 mm,"1,200 g",2014,"2,080",i
voigtlander 42 5mm,Voigtlander Nokton 42.5mm f/0.95,MF,58,i,64 x 75 mm,571 g,2013,999,i
mitakon 42 5mm,Mitakon Speedmaster 42.5mm f/1.2,MF,49,i,60 x 53 mm,310 g,2014,359,i
leica nocticron 42 5mm,Panasonic Leica Nocticron 42.5mm f/1.2 OIS,AF,67,i,74 x 77 mm,425 g,2014,"1,599",i
panasonic 42 5mm 17,Panasonic 42.5mm f/1.7 ASPH Power OIS,AF,37,i,55 x 50 mm,130 g,2015,399,i
yi 42 5mm 18,Yi 42.5mm f/1.8,AF,49,i,57 x 61 mm,120 g,2016,249,i
olympus mzd 45mm 12,Olympus ED 45mm F1.2 Pro,AF,62,i,70 x 85 mm,410 g,2017,"1,199",i
olympus mzd 45mm,Olympus 45mm f/1.8 MSC,AF,37,i,56 x 46 mm,116 g,2011,399,i
panasonic leica 45mm,Panasonic Leica 45mm f/2.8 OIS Macro,AF,46,i,63 x 63 mm,225 g,2009,899,i
slr magic 50mm,SLR Magic 50mm f/0.95 Hyperprime,MF,62,i,65 x 80 mm,490 g,2013,"1,199",i
samyang 50mm 12,Samyang 50mm f/1.2 AS UMC CS,MF,62,i,68 x 73 mm,385 g,2015,549,i
samyang 50mm 14,Samyang 50mm f/1.4 AS UMC,MF,77,i,82 x 100 mm,555 g,2014,499,i
photex 50mm,Photex MC 50mm f/2 Tilt-Shift,MF,46,i,63 x 58 mm,270 g,2010,265,i
meike 50mm,Meike 50mm f/2.0,MF,49,i,61 x 41 mm,188 g,2016,89,i
